Rk,Team,Overall,Home,Road,Team Points Per Game,Opponent Points Per Game
1,Toronto Raptors,19-4,10-2,9-2,117.6,109
2,Philadelphia 76ers,16-8,12-1,4-7,114.6,112.5
3,Denver Nuggets,15-7,9-3,6-4,110.4,102.7
4,Golden State Warriors,15-8,11-2,4-6,116.5,111.5
5,Los Angeles Clippers,15-6,9-1,6-5,117.5,112.2
6,Milwaukee Bucks,15-6,11-2,4-4,120.8,110.1
7,Oklahoma City Thunder,14-7,9-3,5-4,111.0,104.6
8,Indiana Pacers,13-9,6-4,7-5,106,102.3
9,Los Angeles Lakers,13-9,8-4,5-5,112.4,111.7
10,Memphis Grizzlies,13-8,7-3,6-5,104.9,103.1
11,Portland Trail Blazers,13-9,8-4,5-5,112.7,110.8
12,Boston Celtics,12-10,6-3,6-7,108.1,103.9
13,Detroit Pistons,12-7,8-3,4-4,111.6,109.5
14,Charlotte Hornets,11-11,8-4,3-7,114.7,110.4
15,Minnesota Timberwolves,11-11,9-3,2-8,109.9,110.2
16,New Orleans Pelicans,11-12,9-2,2-10,117.7,116.5
17,Orlando Magic,11-12,6-6,5-6,105.8,108.1
18,Utah Jazz,11-12,2-6,9-6,105.9,108.2
19,Dallas Mavericks,10-10,8-2,2-8,110.7,108.8
20,Houston Rockets,10-11,4-5,6-6,109.5,110.0
21,Sacramento Kings,10-11,4-5,6-6,114.5,117.5
22,San Antonio Spurs,10-12,6-4,4-8,108.5,112.0
23,Brooklyn Nets,8-15,3-8,5-7,110.0,112.3
24,Miami Heat,8-13,4-8,4-5,108.5,110
25,Washington Wizards,8-14,6-5,2-9,112.0,118.5
26,New York Knicks,7-16,3-6,4-10,107.8,113.7
27,Atlanta Hawks,5-18,3-7,2-11,107.4,118.1
28,Chicago Bulls,5-18,3-9,2-9,103.3,112.6
29,Cleveland Cavaliers,4-17,3-7,1-10,103.1,113.3
30,Phoenix Suns,4-18,3-8,1-10,103.3,113.4
